Graph,Algorithm,TotalCost,ExecutionTimeMs,Operations
small_graphs.json_graph1,Prim,600,0,5
small_graphs.json_graph1,Kruskal,600,0,4
small_graphs.json_graph2,Prim,930,0,8
small_graphs.json_graph2,Kruskal,930,0,7
small_graphs.json_graph3,Prim,870,0,5
small_graphs.json_graph3,Kruskal,870,0,4
small_graphs.json_graph4,Prim,1450,0,9
small_graphs.json_graph4,Kruskal,1450,0,8
small_graphs.json_graph5,Prim,810,0,7
small_graphs.json_graph5,Kruskal,810,0,6

medium_graphs.json_graph1,Prim,2460,0,18
medium_graphs.json_graph1,Kruskal,2460,0,15
medium_graphs.json_graph2,Prim,1990,0,13
medium_graphs.json_graph2,Kruskal,1990,0,12
medium_graphs.json_graph3,Prim,1820,0,13
medium_graphs.json_graph3,Kruskal,1820,0,11
medium_graphs.json_graph4,Prim,1930,0,15
medium_graphs.json_graph4,Kruskal,1930,0,14
medium_graphs.json_graph5,Prim,2720,0,19
medium_graphs.json_graph5,Kruskal,2720,0,17
medium_graphs.json_graph6,Prim,2370,0,19
medium_graphs.json_graph6,Kruskal,2370,0,18
medium_graphs.json_graph7,Prim,2490,0,21
medium_graphs.json_graph7,Kruskal,2490,0,19
medium_graphs.json_graph8,Prim,2590,0,23
medium_graphs.json_graph8,Kruskal,2590,0,20
medium_graphs.json_graph9,Prim,2810,0,25
medium_graphs.json_graph9,Kruskal,2810,0,22
medium_graphs.json_graph10,Prim,3150,0,29
medium_graphs.json_graph10,Kruskal,3150,0,27

large_graphs.json_graph1,Prim,5620,0,37
large_graphs.json_graph1,Kruskal,5620,0,35
large_graphs.json_graph2,Prim,5555,0,37
large_graphs.json_graph2,Kruskal,5555,0,34
large_graphs.json_graph3,Prim,5525,0,37
large_graphs.json_graph3,Kruskal,5525,0,35
large_graphs.json_graph4,Prim,5540,0,30
large_graphs.json_graph4,Kruskal,5540,0,28
large_graphs.json_graph5,Prim,3230,0,18
large_graphs.json_graph5,Kruskal,3230,0,16
large_graphs.json_graph6,Prim,4075,0,32
large_graphs.json_graph6,Kruskal,4075,0,30
large_graphs.json_graph7,Prim,4585,0,32
large_graphs.json_graph7,Kruskal,4585,0,31
large_graphs.json_graph8,Prim,1020,0,6
large_graphs.json_graph8,Kruskal,1020,0,5
large_graphs.json_graph9,Prim,7400,0,37
large_graphs.json_graph9,Kruskal,7400,0,35
large_graphs.json_graph10,Prim,8750,0,37
large_graphs.json_graph10,Kruskal,8750,0,36
large_graphs.json_graph11,Prim,7650,0,37
large_graphs.json_graph11,Kruskal,7650,0,35
large_graphs.json_graph12,Prim,7540,0,36
large_graphs.json_graph12,Kruskal,7540,0,34
large_graphs.json_graph13,Prim,4855,0,33
large_graphs.json_graph13,Kruskal,4855,0,30
large_graphs.json_graph14,Prim,3540,0,19
large_graphs.json_graph14,Kruskal,3540,0,17
large_graphs.json_graph15,Prim,3615,0,25
large_graphs.json_graph15,Kruskal,3615,0,23
large_graphs.json_graph16,Prim,7105,0,37
large_graphs.json_graph16,Kruskal,7105,0,35
large_graphs.json_graph17,Prim,3285,0,21
large_graphs.json_graph17,Kruskal,3285,0,19
large_graphs.json_graph18,Prim,6885,0,33
large_graphs.json_graph18,Kruskal,6885,0,31
large_graphs.json_graph19,Prim,6385,0,36
large_graphs.json_graph19,Kruskal,6385,0,34
large_graphs.json_graph20,Prim,7290,0,37
large_graphs.json_graph20,Kruskal,7290,0,35

